Date,GME,AMC,BB,BBBY,NOK,SPY
2/12/2020,4.19,6.86,6.07,11.79,4.41,337.42
2/13/2020,4.11,7,6,11.81,4.34,337.06
2/14/2020,4.02,7.1,5.83,11.18,4.33,337.6
2/18/2020,4.06,7.04,6.09,11.78,4.25,336.73
2/19/2020,4.15,7.31,6.15,12.61,4.2,338.34
2/20/2020,4.14,7.76,6.16,12.67,4.16,336.95
2/21/2020,4.04,7.46,6.01,12.45,4.16,333.48
2/24/2020,3.7,7.05,5.76,11.62,4.02,322.42
2/25/2020,3.56,6.55,5.5,10.99,3.91,312.65
2/26/2020,3.39,5.93,5.47,10.6,4.15,311.5
2/27/2020,3.47,6.09,5.14,10.28,3.96,297.51
2/28/2020,3.6,6.26,5.17,10.81,3.87,296.26
3/2/2020,3.83,6.11,5.08,10.33,3.93,309.09
3/3/2020,3.63,5.81,4.93,9.91,3.79,300.24
3/4/2020,3.77,5.82,4.92,9.97,3.86,312.86
3/5/2020,3.96,4.92,4.67,9.49,3.66,302.46
3/6/2020,3.92,4.53,4.44,9.79,3.57,297.46
3/9/2020,3.7,3.85,3.85,9.01,3.31,274.23
3/10/2020,4.23,4.2,4.2,8.74,3.32,288.42
3/11/2020,4.14,3.64,4.16,7.65,3.13,274.36
3/12/2020,3.98,2.91,3.7,6.29,2.61,248.11
3/13/2020,4.59,3.22,4.38,7.29,2.74,269.32
3/16/2020,4.37,2.6,3.39,6.09,2.42,239.85
3/17/2020,4.23,2.48,2.9,5.44,2.53,252.8
3/18/2020,3.77,2.47,3.18,4.62,2.43,240
3/19/2020,4.19,3.37,3.26,5.42,2.56,240.51
3/20/2020,3.76,3.19,3.38,5,2.66,228.8
3/23/2020,3.81,3.15,3.44,4.46,2.65,222.95
3/24/2020,4.16,3.56,3.62,5.72,2.94,243.15
3/25/2020,4.17,3.46,3.76,5.39,3.07,246.79
3/26/2020,4.41,3.7,3.93,4.89,3.15,261.2
3/27/2020,4.22,3.6,3.81,4.65,3.01,253.42
3/30/2020,3.65,3.04,3.91,4.2,3.05,261.65
3/31/2020,3.5,3.16,4.13,4.21,3.1,257.75
4/1/2020,3.25,2.62,3.36,3.79,2.97,246.15
4/2/2020,2.85,2.24,3.23,3.56,3.04,251.83
4/3/2020,2.8,2.27,3.22,3.94,2.97,248.19
4/6/2020,3.09,2.88,3.48,4.41,3.16,264.86
4/7/2020,3.27,3.14,3.61,4.71,3.16,265.13
4/8/2020,3.41,3.3,3.84,5.7,3.24,274.03
4/9/2020,3.89,2.6,3.76,5.58,3.27,278.2
4/13/2020,4.74,2.08,3.86,5.27,3.25,275.66
4/14/2020,5.95,2.18,4,5.37,3.37,283.79
4/15/2020,5.27,2.41,3.7,4.44,3.23,277.76
4/16/2020,5.03,2.44,4.01,5.24,3.46,279.1
4/17/2020,4.88,3.2,4.27,4.79,3.48,286.64
4/20/2020,5.61,3.18,4.09,4.55,3.44,281.59
4/21/2020,4.78,3.25,3.92,4.53,3.36,273.04
4/22/2020,4.89,3.18,3.9,4.6,3.38,279.1
4/23/2020,4.7,3.11,4.01,4.91,3.39,279.08
4/24/2020,4.77,3.05,4.04,5.23,3.39,282.97
4/27/2020,5.82,3.36,4.26,6.41,3.46,287.05
4/28/2020,5.64,4.14,4.21,6.65,3.41,285.73
4/29/2020,6.04,5.19,4.37,6.59,3.51,293.21
4/30/2020,5.73,4.92,4.28,6.19,3.58,290.48
5/1/2020,6.05,4.57,4.07,5.64,3.6,282.79
5/4/2020,5.48,4.3,4.26,5.91,3.55,283.57
5/5/2020,5.39,3.89,4.27,5.58,3.46,286.19
5/6/2020,4.93,3.92,4.49,5.64,3.46,284.25
5/7/2020,4.87,3.99,4.6,5.78,3.55,287.68
5/8/2020,4.98,4.1,4.71,6.46,3.58,292.44
5/11/2020,4.76,5.32,4.58,6.2,3.57,292.5
5/12/2020,4.54,5.12,4.5,5.86,3.57,286.67
5/13/2020,4.21,4.6,4.46,5.45,3.44,281.6
5/14/2020,4.13,4.55,4.46,5.35,3.42,284.97
5/15/2020,4.22,4.52,4.42,5.79,3.45,286.28
5/18/2020,4.58,4.72,4.49,6.28,3.65,295
5/19/2020,4.44,4.56,4.49,5.95,3.69,291.97
5/20/2020,4.43,4.66,4.65,5.95,3.82,296.93
5/21/2020,4.44,4.63,4.54,6.8,3.77,294.88
5/22/2020,4.18,4.58,4.54,6.7,3.85,295.44
5/26/2020,4.42,5.11,4.64,7.49,3.85,299.08
5/27/2020,4.69,5.6,4.66,7.69,3.91,303.53
5/28/2020,4.33,5.07,4.58,7.47,3.92,302.97
5/29/2020,4.06,5.13,4.64,7.27,3.95,304.32
6/1/2020,4.13,5.31,4.92,7.5,4.2,305.55
6/2/2020,4.18,5.59,5.36,7.55,4.31,308.08
6/3/2020,4.44,5.45,5.21,8.08,4.37,312.18
6/4/2020,4.47,5.38,5.23,8.73,4.28,311.36
6/5/2020,4.14,5.91,5.47,9.32,4.46,319.34
6/8/2020,5.01,6.45,5.79,9.86,4.52,323.2
6/9/2020,4.96,5.99,5.61,9.09,4.42,320.79
6/10/2020,5.07,6.29,5.57,8.26,4.45,319
6/11/2020,4.37,5.17,5.03,7.46,4.11,300.61
6/12/2020,4.72,5.89,5.25,8.1,4.2,304.21
6/15/2020,4.69,5.8,4.99,8.37,4.28,307.05
6/16/2020,4.64,5.56,5.22,9.64,4.34,312.96
6/17/2020,4.76,5.42,5.1,9.72,4.41,311.66
6/18/2020,4.95,5.63,5.08,10.1,4.37,311.78
6/19/2020,4.88,5.52,5.06,9.84,4.33,308.64
6/22/2020,4.87,5.33,5.12,9.97,4.33,310.62
6/23/2020,4.83,5.1,5.1,10.24,4.33,312.05
6/24/2020,4.41,4.79,4.92,9.35,4.2,304.09
6/25/2020,4.46,4.27,4.85,9.48,4.45,307.35
6/26/2020,4.35,4.18,4.72,10.05,4.34,300.05
6/29/2020,4.38,4.42,4.8,10.82,4.35,304.46
6/30/2020,4.34,4.29,4.89,10.6,4.4,308.36
7/1/2020,4.44,4.57,4.78,10.64,4.35,310.52
7/2/2020,4.29,4.53,4.85,10.81,4.44,312.23
7/6/2020,4.24,4.28,5.02,10.76,4.6,317.05
7/7/2020,4.09,4.13,4.8,10.24,4.31,313.78
7/8/2020,4.26,4.43,4.84,10.41,4.15,316.18
7/9/2020,4.21,4.57,4.81,7.86,4.17,314.38
7/10/2020,4.34,4.6,4.73,8.2,4.12,317.59
7/13/2020,4.26,4.26,4.58,7.73,4.18,314.84
7/14/2020,4.08,4.22,4.58,8.39,4.32,318.92
7/15/2020,4.19,4.5,4.71,8.88,4.33,321.85
7/16/2020,4.17,4.38,4.65,9.47,4.24,320.79
7/17/2020,3.96,4.27,4.8,9.22,4.39,321.72
7/20/2020,3.85,4.15,4.99,8.89,4.45,324.32
7/21/2020,4.01,4.15,4.85,9.43,4.43,325.01
7/22/2020,4.11,4.03,4.79,10,4.5,326.86
7/23/2020,4.11,4.06,4.74,10.16,4.37,322.96
7/24/2020,4.03,4,4.65,10.14,4.3,320.88
7/27/2020,4.01,3.87,4.69,10.53,4.34,323.22
7/28/2020,3.94,4.15,4.66,10.35,4.28,321.17
7/29/2020,4.06,4.16,4.87,10.85,4.34,325.12
7/30/2020,4.1,4.12,4.74,10.96,4.45,323.96
7/31/2020,4.01,4.04,4.74,10.82,4.78,326.52
8/3/2020,4.15,4.11,4.74,11.05,5.06,328.79
8/4/2020,4.43,4.1,4.75,11.43,5.1,330.06
8/5/2020,4.63,4.15,4.84,11.77,5,332.11
8/6/2020,4.43,4.14,4.96,12,5,334.33
8/7/2020,4.16,4.75,4.84,12.11,4.98,334.57
8/10/2020,4.33,4.47,4.84,12.66,4.91,335.57
8/11/2020,4.35,4.56,4.79,11.93,4.96,332.8
8/12/2020,4.52,4.64,4.82,12.12,5.05,337.44
8/13/2020,4.64,5.31,4.89,12.34,5.06,336.83
8/14/2020,4.75,5.54,4.8,12.35,5,336.84
8/17/2020,4.63,5.6,4.81,12.87,5.07,337.91
8/18/2020,4.81,5.35,4.79,12.2,5.09,338.64
8/19/2020,4.72,5.39,4.78,12.2,5.04,337.23
8/20/2020,4.61,5.69,4.83,11.47,5.05,338.28
