date,si_qty,si_value,si_pct_float,si_pct_shrsout
2/10/2020,53751068,211779207.9,87.38,81.54
2/11/2020,53743516,216048934.3,87.36,81.53
2/12/2020,54733552,229333582.9,88.97,83.03
2/13/2020,54294472,223150279.9,88.26,82.36
2/14/2020,54092480,217451769.6,87.93,82.05
2/17/2020,54133180,217615383.6,88,82.12
2/18/2020,53315192,216459679.5,86.67,80.88
2/19/2020,52427088,217572415.2,85.22,79.53
2/20/2020,52820328,218676157.9,85.86,80.13
2/21/2020,53081732,214450197.3,86.29,80.52
2/24/2020,53119972,196543896.4,86.35,80.58
2/25/2020,53816364,191586255.8,87.48,81.64
2/26/2020,53423504,181105678.6,86.84,81.04
2/27/2020,52989580,183873842.6,86.13,80.38
2/28/2020,53966804,194280494.4,87.72,81.86
3/2/2020,55351056,211994544.5,89.97,83.96
3/3/2020,55504448,201481146.2,90.22,84.2
3/4/2020,54302972,204722204.4,88.27,82.37
3/5/2020,54079352,214154233.9,87.91,82.04
3/6/2020,53921312,211371543,87.65,81.8
3/9/2020,53814520,199113724,87.48,81.63
3/10/2020,53876792,227898830.2,87.58,81.73
3/11/2020,53261652,220503239.3,86.58,80.79
3/12/2020,53027648,211050039,86.24,80.44
3/13/2020,52728848,242025412.3,85.75,79.99
3/16/2020,52285036,228485607.3,85.03,79.31
3/17/2020,53930088,228124272.2,93.02,81.81
3/18/2020,52587188,198253698.8,90.71,79.77
3/19/2020,52176840,218620959.6,90,79.15
3/20/2020,51113864,192188128.6,88.17,77.54
3/23/2020,47807340,182145965.4,82.53,72.52
3/24/2020,45514956,189342217,78.58,69.04
3/25/2020,46649268,194527447.6,80.53,70.76
3/26/2020,45876124,202313706.8,79.2,69.59
3/27/2020,45200296,190745249.1,78.03,68.57
3/30/2020,44843736,163679636.4,79.42,69.57
3/31/2020,43269240,151442340,76.64,67.13
4/1/2020,42508320,138152040,75.29,65.95
4/2/2020,41658744,118727420.4,73.78,64.63
4/3/2020,43833236,122733060.8,77.63,68
4/6/2020,45566660,140800979.4,80.71,70.69
4/7/2020,45358000,148320660,80.34,70.37
4/8/2020,45694800,155819268,80.82,70.89
4/9/2020,45594272,177361718.1,80.64,70.73
4/10/2020,45646772,177565943.1,80.74,70.82
4/13/2020,45514788,215740095.1,80.5,70.61
4/14/2020,46148552,274583884.4,81.63,71.59
4/15/2020,46377364,244408708.3,82.03,71.95
4/16/2020,46190312,232337269.4,81.65,71.66
4/17/2020,46237840,225640659.2,81.67,71.73
4/20/2020,45152732,253306826.5,79.76,70.05
4/21/2020,46934016,224344596.5,82.9,72.81
4/22/2020,46673328,228232573.9,82.44,72.41
4/23/2020,46692808,219456197.6,82.48,72.44
4/24/2020,46673192,222631125.8,82.44,72.41
4/27/2020,46622488,271342880.2,82.35,72.33
4/28/2020,46798528,263943697.9,82.45,72.46
4/29/2020,46775016,282521096.6,82.41,72.43
4/30/2020,46772620,268007112.6,82.4,72.42
5/1/2020,46775296,282990540.8,82.41,72.43
5/4/2020,46444068,254513492.6,81.82,71.91
5/5/2020,46109344,248529364.2,81.23,71.4
5/6/2020,46592440,229700729.2,82.08,72.14
5/7/2020,46299600,225479052,81.57,71.69
5/8/2020,45896360,228563872.8,80.86,71.07
5/11/2020,45500400,216581904,80.16,70.45
5/12/2020,43828616,198981916.6,77.16,67.87
5/13/2020,43645504,183747571.8,76.84,67.58
5/14/2020,43211836,178464882.7,76.07,66.91
5/15/2020,43821768,184927861,77.15,67.85
5/18/2020,42574160,194989652.8,74.95,65.92
5/19/2020,43188968,191759017.9,76.03,66.87
5/20/2020,42977360,190389704.8,75.66,66.55
5/21/2020,41686304,185087189.8,73.39,64.55
5/22/2020,42059776,175809863.7,74.05,65.13
5/25/2020,42362400,177074832,74.58,65.59
5/26/2020,42942440,189805584.8,75.6,66.49
5/27/2020,43709604,204998042.8,76.95,67.68
5/28/2020,43589316,188741738.3,76.74,67.49
5/29/2020,42674800,173259688,75.13,66.08
6/1/2020,42660988,176189880.4,75.1,66.06
6/2/2020,41992544,175528833.9,73.93,65.02
6/3/2020,42701616,189595175,75.18,66.12
6/4/2020,42997912,192200666.6,75.7,66.58
6/5/2020,43758592,181160570.9,77.04,67.76
6/8/2020,44213552,221509895.5,77.84,68.46
6/9/2020,44704728,221735450.9,78.46,69.03
6/10/2020,45645668,231423536.8,80.11,70.49
6/11/2020,45751428,199933740.4,83.22,70.65
6/12/2020,44562608,210335509.8,81.06,68.81
6/15/2020,43811688,205476816.7,79.7,67.65
6/16/2020,43031448,199665918.7,78.62,66.45
6/17/2020,40256816,191622444.2,73.55,62.16
6/18/2020,41323312,204550394.4,75.5,63.81
6/19/2020,39064804,190636243.5,71.45,60.32
6/22/2020,38359056,186808602.7,71.94,59.23
6/23/2020,37843864,182785863.1,70.97,58.44
6/24/2020,36309320,160124101.2,68.1,56.07
6/25/2020,35287408,157381839.7,66.18,54.49
6/26/2020,33477612,145627612.2,62.79,51.7
6/29/2020,33998912,148915234.6,63.76,52.5
6/30/2020,33016536,143291766.2,61.92,50.98
7/1/2020,33429828,148428436.3,62.7,51.62
7/2/2020,33002968,141582732.7,61.9,50.96
7/3/2020,33250728,142645623.1,62.36,51.35
7/6/2020,34265612,145286194.9,64.24,52.91
7/7/2020,35220896,144053464.6,66.03,54.39
7/8/2020,34733656,147965374.6,65.12,53.64
7/9/2020,33086748,139295209.1,62.03,51.09
7/10/2020,32348372,140391934.5,60.65,49.95
7/13/2020,32631056,139008298.6,61.18,50.39
7/14/2020,31497720,128510697.6,59.05,48.64
7/15/2020,32157936,134741751.8,60.29,49.66
7/16/2020,30842126,128611665.4,57.82,47.63
7/17/2020,30555146,120998378.2,57.28,47.18
7/20/2020,32994096,127027269.6,61.86,50.95
7/21/2020,33373960,133829579.6,62.57,51.54
7/22/2020,35231292,144800610.1,66.05,54.4
7/23/2020,36064900,148226739,67.61,55.69
7/24/2020,35696004,143854896.1,66.92,55.12
7/27/2020,35353132,141766059.3,66.28,54.59
7/28/2020,37010280,145820503.2,69.39,57.15
7/29/2020,35003724,142115119.4,65.62,54.05
7/30/2020,35334464,144871302.4,66.24,54.56
7/31/2020,34601124,138750507.2,64.87,53.43
8/3/2020,33876304,140586661.6,63.51,52.31
8/4/2020,33911376,150227395.7,63.58,52.37
8/5/2020,35672148,165162045.2,66.88,55.08
8/6/2020,34765960,154013202.8,65.18,53.69
8/7/2020,37473352,155889144.3,70.25,57.87
8/10/2020,38114536,165035940.9,71.46,58.86
8/11/2020,38530144,167606126.4,72.24,59.5
8/12/2020,38491460,173981399.2,72.16,59.44
8/13/2020,37816824,175470063.4,70.9,58.4
8/14/2020,38764360,184130710,72.67,59.86
8/17/2020,39649992,183579463,74.33,61.23
8/18/2020,39605372,190501839.3,74.25,61.16
8/19/2020,40274828,190097188.2,75.51,62.19
8/20/2020,40668536,187481951,76.24,62.8
8/21/2020,41713488,209818844.6,78.2,64.41
8/24/2020,42527928,207111009.4,79.73,65.67
8/25/2020,42815720,213222285.6,80.27,66.12
8/26/2020,43199216,220747993.8,80.99,66.71
8/27/2020,43563536,228708564,81.67,67.27
8/28/2020,44027612,237308828.7,82.54,67.99
8/31/2020,43210776,288647983.7,81.01,66.73
9/1/2020,44201892,338144473.8,82.87,68.26
9/2/2020,44139624,340316501,82.75,68.16
9/3/2020,44620108,348929244.6,83.65,68.9
9/4/2020,44122888,337540093.2,82.72,68.13
9/7/2020,44034788,336866128.2,82.56,68
9/8/2020,45334640,349076728,84.99,70.01
9/9/2020,45441576,333995583.6,84.55,69.74
9/10/2020,45695344,284681993.1,85.03,70.13
9/11/2020,45552000,277411680,84.76,69.91
9/14/2020,46186888,319151396.1,85.94,70.88
9/15/2020,47450720,336425604.8,88.29,72.82
9/16/2020,47577536,412973012.5,88.53,73.01
9/17/2020,47577436,437712411.2,88.53,73.01
9/18/2020,49437632,468174375,91.99,75.87
9/21/2020,49410728,432343870,91.94,75.83
9/22/2020,49505832,522781585.9,92.12,75.97
9/23/2020,48080904,482732276.2,89.47,73.79
9/24/2020,48480952,443115901.3,90.21,74.4
9/25/2020,48271828,483683716.6,89.82,74.08
9/28/2020,49007284,494483495.6,91.19,75.21
9/29/2020,49442360,511728426,92,75.88
9/30/2020,49201460,501854892,91.55,75.51
10/1/2020,49348224,482132148.5,91.82,75.73
10/2/2020,48505064,455462551,90.25,74.44
10/5/2020,48325952,457163505.9,89.92,74.16
10/6/2020,47647480,435021492.4,88.66,73.12
10/7/2020,48374144,452781987.8,90.01,74.24
10/8/2020,48760784,657782976.2,90.73,74.83
10/9/2020,50741736,609915666.7,94.42,77.87
10/12/2020,51225712,604463401.6,95.32,78.61
10/13/2020,50994400,605813472,94.89,78.26
10/14/2020,51860008,635285098,96.5,79.59
10/15/2020,53310008,737277410.6,99.2,81.81
10/16/2020,48568520,646447001.2,90.37,74.54
10/19/2020,47865096,665803485.4,89.06,73.46
10/20/2020,47327952,655965414.7,88.06,72.63
10/21/2020,45673248,643992796.8,84.99,70.09
10/22/2020,46237792,689405478.7,86.04,70.96
10/23/2020,46188528,692827920,85.94,70.88
10/26/2020,44099872,593143278.4,82.06,67.68
10/27/2020,45526516,577731488,84.71,69.87
10/28/2020,44379692,524567959.4,82.58,68.11
10/29/2020,44421040,521058799.2,82.66,68.17
10/30/2020,42613084,446158989.5,79.29,65.4
11/2/2020,41031508,441088711,76.35,62.97
11/3/2020,42138436,487541704.5,78.41,64.67
11/4/2020,42353756,462079478,78.81,65
11/5/2020,43503204,498111685.8,80.95,66.76
11/6/2020,43689424,518156568.6,81.29,67.05
11/9/2020,43874676,504120027.2,81.64,67.33
11/10/2020,45695360,507218496,85.03,70.13
11/11/2020,45716060,537163705,85.06,70.16
11/12/2020,46430644,516773067.7,86.39,71.25
11/13/2020,45597264,502025876.6,84.84,69.98
11/16/2020,45779216,552097345,85.18,70.25
11/17/2020,45678528,531241280.6,84.99,70.1
11/18/2020,45012396,520793421.7,83.76,69.08
